,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_kaleido_setup.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A5D0,8005B4D0,3D0,051BD0,8006EA30,420,051BD0,8006EA30,420,04A5D0,8005B4D0,3D0,51BD0,8006EA30,420,,,,,,,,,,
z_kanfont.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A9A0,8005B8A0,1D0,051FF0,8006EE50,250,051FF0,8006EE50,250,04A9A0,8005B8A0,1D0,51FF0,8006EE50,250,,,,,,,,,,
z_kankyo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04AB70,8005BA70,7810,052240,8006F0A0,8740,052240,8006F0A0,8740,04AB70,8005BA70,7810,52240,8006F0A0,8740,,,,,,,,,,
z_lib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052380,80063280,11A0,05A980,800777E0,1180,05A980,800777E0,1180,052380,80063280,11A0,5A980,800777E0,1180,,,,,,,,,,
z_lifemeter.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053520,80064420,13A0,05BB00,80078960,13D0,05BB00,80078960,13D0,053520,80064420,13A0,5BB00,80078960,13D0,,,,,,,,,,
z_lights.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0548C0,800657C0,,05CED0,80079D30,10E0,05CED0,80079D30,10E0,0548C0,800657C0,10A0,5CED0,80079D30,10E0,,,,,,,,,,
z_malloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05DFB0,8007AE10,480,05DFB0,8007AE10,480,055960,80066860,1E0,5DFB0,8007AE10,480,,,,,,,,,,
z_map_mark.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,055B40,80066A40,600,05E430,8007B290,680,05E430,8007B290,680,055B40,80066A40,600,5E430,8007B290,680,,,,,,,,,,
z_moji.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05EAB0,8007B910,550,05EAB0,8007B910,550,,,,5EAB0,8007B910,550,,,,,,,,,,
z_prenmi_buff.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56140,80067040,C0,05F000,8007BE60,B0,05F000,8007BE60,B0,56140,80067040,C0,5F000,8007BE60,B0,,,,,,,,,,
z_msgevent.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056200,80067100,80,05F0B0,8007BF10,80,05F0B0,8007BF10,80,056200,80067100,80,5F0B0,8007BF10,80,,,,,,,,,,
z_olib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056280,80067180,6F0,05F130,8007BF90,6F0,05F130,8007BF90,6F0,056280,80067180,6F0,5F130,8007BF90,6F0,,,,,,,,,,
z_onepointdemo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05F820,8007C680,4120,05F820,8007C680,4120,056970,80067870,3FA0,5F820,8007C680,4120,,,,,,,,,,
